TrapID,Habitat,Trap_Type,Sampling_Dates,Start_Date,End_Date,Sampling_Duration,Sampling_Session,Month,Week_of_Year,End_Day_of_the_Year,Order,Family,Lowest_Det,Count,Count per Day, Quad Veg Cover , Quad Native Veg Cover ,Quad Non-Native Veg Cover,NQ Native Veg Cover,NQ Non-Native Veg Cover,Quad Grass Cover,Quad Native Grass Cover,Quad Non-Native Grass Cover,NQ Non-Native Grass,Quad Herbaceous Cover,Quad Native Herb Cover,Quad Non-Native Herb Cover,NQ Native Herb,NQ Non-Native Herb,Quad Shrub Cover (Native),NQ Shrub Cover (Native),NQ Tree Cover (Native),Moss Cover,Bare Ground,Thatch Cover,Thatch Depth (cm),Quad Veg Height (cm),Min pH,Max pH,Avg. pH,Min Soil Max Salinity,Avg Soil Max Salinity,Max Soil Max Salinity,Min Soil Max %CaCO3,Avg Soil Max %CaCO3,Max Soil Max %CaCO3,Quad. Number of Spp.,NQ Number of Spp.,Quad. Native Spp.,NQ Native Spp.,Quad. Non-Native Spp.,NQ Non-Native Spp.,Quad. Unknown Spp. (e.g. Moss),NQ Unknown Spp. (e.g. Moss),Quad Native Grass Spp.,Quad. Non-Native Grass Spp.,NQ Non-Native Grass Spp.,Quad. Native Herb Spp.,NQ Native Herb Spp.,Quad. Non-Native Herb Spp.,NQ Non-Native Herb Spp.,Quad. Native Shrub Spp.,NQ Native Shrub Spp.,NQ Tree Spp.,Quad. Dominant Species Name,Quad. Dominant Species Type,NQ Dominant Species Name,NQ Dominant Species Type
AG-PIT-01,Non-native Annual Grassland,PIT,"July 11-14, 2016",7/11/2016,7/14/2016,3,Summer,July,29,196,Collembola,Entomobryidae,Entomobryidae,0,0.0,82, -   ,82,2,4,73.3, -   ,73.3,1,8.7, -   ,8.7,2,3, -   , -   , -   , -   ,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12, -   ,4,28,10,3, -   ,1,10,2, -   , -   , -   ,4,1, -   ,1,6,1, -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-01,Non-native Annual Grassland,PIT,"July 11-14, 2016",7/11/2016,7/14/2016,3,Summer,July,29,196,Dermaptera,Forficulidae,Forficulidae,2,0.7,82, -   ,82,2,4,73.3, -   ,73.3,1,8.7, -   ,8.7,2,3, -   , -   , -   , -   ,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12, -   ,4,28,10,3, -   ,1,10,2, -   , -   , -   ,4,1, -   ,1,6,1, -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-01,Non-native Annual Grassland,PIT,"July 11-14, 2016",7/11/2016,7/14/2016,3,Summer,July,29,196,Isopoda,Armadillidiidae,Armadillidium,4,1.3,82, -   ,82,2,4,73.3, -   ,73.3,1,8.7, -   ,8.7,2,3, -   , -   , -   , -   ,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12, -   ,4,28,10,3, -   ,1,10,2, -   , -   , -   ,4,1, -   ,1,6,1, -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-01,Non-native Annual Grassland,PIT,"July 11-14, 2016",7/11/2016,7/14/2016,3,Summer,July,29,196,Isopoda,Porcellionidae,Porcellio,2,0.7,82, -   ,82,2,4,73.3, -   ,73.3,1,8.7, -   ,8.7,2,3, -   , -   , -   , -   ,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12, -   ,4,28,10,3, -   ,1,10,2, -   , -   , -   ,4,1, -   ,1,6,1, -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-03,Non-native Annual Grassland,PIT,"April 14-21, 2016",4/14/2016,4/21/2016,6,Spring 1,April,16,112,Collembola,Entomobryidae,Entomobryidae,5,0.8,70.7,17.3,53.3, -   , -   ,44.7, -   ,44.7, -   ,26,17.3,8.7, -   , -   , -   , -   , -   , -   ,11.3,17.3,0.5,16.2,4.8,8.1,6.4,1,9,63,1,3.2,8,15, -   ,5, -   ,10, -   , -   , -   , -   ,5, -   ,5, -   ,5, -   , -   , -   , -   , Brachypodium distachyon , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-03,Non-native Annual Grassland,PIT,"April 14-21, 2016",4/14/2016,4/21/2016,6,Spring 1,April,16,112,Archaeognatha,Machilidae,Machilidae,10,1.7,70.7,17.3,53.3, -   , -   ,44.7, -   ,44.7, -   ,26,17.3,8.7, -   , -   , -   , -   , -   , -   ,11.3,17.3,0.5,16.2,4.8,8.1,6.4,1,9,63,1,3.2,8,15, -   ,5, -   ,10, -   , -   , -   , -   ,5, -   ,5, -   ,5, -   , -   , -   , -   , Brachypodium distachyon , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-03,Non-native Annual Grassland,PIT,"April 14-21, 2016",4/14/2016,4/21/2016,6,Spring 1,April,16,112,Collembola,Bourletiellidae,Bourletiellidae,3,0.5,70.7,17.3,53.3, -   , -   ,44.7, -   ,44.7, -   ,26,17.3,8.7, -   , -   , -   , -   , -   , -   ,11.3,17.3,0.5,16.2,4.8,8.1,6.4,1,9,63,1,3.2,8,15, -   ,5, -   ,10, -   , -   , -   , -   ,5, -   ,5, -   ,5, -   , -   , -   , -   , Brachypodium distachyon , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-03,Non-native Annual Grassland,PIT,"April 14-21, 2016",4/14/2016,4/21/2016,6,Spring 1,April,16,112,Collembola,Isotomidae,Isotomidae,0,0.0,70.7,17.3,53.3, -   , -   ,44.7, -   ,44.7, -   ,26,17.3,8.7, -   , -   , -   , -   , -   , -   ,11.3,17.3,0.5,16.2,4.8,8.1,6.4,1,9,63,1,3.2,8,15, -   ,5, -   ,10, -   , -   , -   , -   ,5, -   ,5, -   ,5, -   , -   , -   , -   , Brachypodium distachyon , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-03,Non-native Annual Grassland,PIT,"April 14-21, 2016",4/14/2016,4/21/2016,6,Spring 1,April,16,112,Dermaptera,Forficulidae,Forficulidae,0,0.0,70.7,17.3,53.3, -   , -   ,44.7, -   ,44.7, -   ,26,17.3,8.7, -   , -   , -   , -   , -   , -   ,11.3,17.3,0.5,16.2,4.8,8.1,6.4,1,9,63,1,3.2,8,15, -   ,5, -   ,10, -   , -   , -   , -   ,5, -   ,5, -   ,5, -   , -   , -   , -   , Brachypodium distachyon , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-03,Non-native Annual Grassland,PIT,"April 14-21, 2016",4/14/2016,4/21/2016,6,Spring 1,April,16,112,Isopoda,Armadillidiidae,Armadillidium,40,6.7,70.7,17.3,53.3, -   , -   ,44.7, -   ,44.7, -   ,26,17.3,8.7, -   , -   , -   , -   , -   , -   ,11.3,17.3,0.5,16.2,4.8,8.1,6.4,1,9,63,1,3.2,8,15, -   ,5, -   ,10, -   , -   , -   , -   ,5, -   ,5, -   ,5, -   , -   , -   , -   , Brachypodium distachyon , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-03,Non-native Annual Grassland,PIT,"April 14-21, 2016",4/14/2016,4/21/2016,6,Spring 1,April,16,112,Isopoda,Porcellionidae,Porcellio,7,1.2,70.7,17.3,53.3, -   , -   ,44.7, -   ,44.7, -   ,26,17.3,8.7, -   , -   , -   , -   , -   , -   ,11.3,17.3,0.5,16.2,4.8,8.1,6.4,1,9,63,1,3.2,8,15, -   ,5, -   ,10, -   , -   , -   , -   ,5, -   ,5, -   ,5, -   , -   , -   , -   , Brachypodium distachyon , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-03,Non-native Annual Grassland,PIT,"July 18-21, 2016",7/18/2016,7/21/2016,3,Summer,July,30,203,Collembola,Entomobryidae,Entomobryidae,0,0.0,70.7,17.3,53.3, -   , -   ,44.7, -   ,44.7, -   ,26,17.3,8.7, -   , -   , -   , -   , -   , -   ,11.3,17.3,0.5,16.2,4.8,8.1,6.4,1,9,63,1,3.2,8,15, -   ,5, -   ,10, -   , -   , -   , -   ,5, -   ,5, -   ,5, -   , -   , -   , -   , Brachypodium distachyon , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-03,Non-native Annual Grassland,PIT,"July 18-21, 2016",7/18/2016,7/21/2016,3,Summer,July,30,203,Archaeognatha,Machilidae,Machilidae,1,0.3,70.7,17.3,53.3, -   , -   ,44.7, -   ,44.7, -   ,26,17.3,8.7, -   , -   , -   , -   , -   , -   ,11.3,17.3,0.5,16.2,4.8,8.1,6.4,1,9,63,1,3.2,8,15, -   ,5, -   ,10, -   , -   , -   , -   ,5, -   ,5, -   ,5, -   , -   , -   , -   , Brachypodium distachyon , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-03,Non-native Annual Grassland,PIT,"July 18-21, 2016",7/18/2016,7/21/2016,3,Summer,July,30,203,Collembola,Bourletiellidae,Bourletiellidae,0,0.0,70.7,17.3,53.3, -   , -   ,44.7, -   ,44.7, -   ,26,17.3,8.7, -   , -   , -   , -   , -   , -   ,11.3,17.3,0.5,16.2,4.8,8.1,6.4,1,9,63,1,3.2,8,15, -   ,5, -   ,10, -   , -   , -   , -   ,5, -   ,5, -   ,5, -   , -   , -   , -   , Brachypodium distachyon , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-03,Non-native Annual Grassland,PIT,"July 18-21, 2016",7/18/2016,7/21/2016,3,Summer,July,30,203,Collembola,Isotomidae,Isotomidae,0,0.0,70.7,17.3,53.3, -   , -   ,44.7, -   ,44.7, -   ,26,17.3,8.7, -   , -   , -   , -   , -   , -   ,11.3,17.3,0.5,16.2,4.8,8.1,6.4,1,9,63,1,3.2,8,15, -   ,5, -   ,10, -   , -   , -   , -   ,5, -   ,5, -   ,5, -   , -   , -   , -   , Brachypodium distachyon , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-03,Non-native Annual Grassland,PIT,"July 18-21, 2016",7/18/2016,7/21/2016,3,Summer,July,30,203,Dermaptera,Forficulidae,Forficulidae,0,0.0,70.7,17.3,53.3, -   , -   ,44.7, -   ,44.7, -   ,26,17.3,8.7, -   , -   , -   , -   , -   , -   ,11.3,17.3,0.5,16.2,4.8,8.1,6.4,1,9,63,1,3.2,8,15, -   ,5, -   ,10, -   , -   , -   , -   ,5, -   ,5, -   ,5, -   , -   , -   , -   , Brachypodium distachyon , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-03,Non-native Annual Grassland,PIT,"July 18-21, 2016",7/18/2016,7/21/2016,3,Summer,July,30,203,Isopoda,Armadillidiidae,Armadillidium,2,0.7,70.7,17.3,53.3, -   , -   ,44.7, -   ,44.7, -   ,26,17.3,8.7, -   , -   , -   , -   , -   , -   ,11.3,17.3,0.5,16.2,4.8,8.1,6.4,1,9,63,1,3.2,8,15, -   ,5, -   ,10, -   , -   , -   , -   ,5, -   ,5, -   ,5, -   , -   , -   , -   , Brachypodium distachyon , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-03,Non-native Annual Grassland,PIT,"July 18-21, 2016",7/18/2016,7/21/2016,3,Summer,July,30,203,Isopoda,Porcellionidae,Porcellio,1,0.3,70.7,17.3,53.3, -   , -   ,44.7, -   ,44.7, -   ,26,17.3,8.7, -   , -   , -   , -   , -   , -   ,11.3,17.3,0.5,16.2,4.8,8.1,6.4,1,9,63,1,3.2,8,15, -   ,5, -   ,10, -   , -   , -   , -   ,5, -   ,5, -   ,5, -   , -   , -   , -   , Brachypodium distachyon , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"April 19-20, 2016",4/19/2016,4/20/2016,1,Spring 2,April,17,111,Archaeognatha,Machilidae,Machilidae,3,3.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"April 19-20, 2016",4/19/2016,4/20/2016,1,Spring 2,April,17,111,Collembola,Isotomidae,Isotomidae,0,0.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"April 19-20, 2016",4/19/2016,4/20/2016,1,Spring 2,April,17,111,Dermaptera,Forficulidae,Forficulidae,0,0.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"April 19-20, 2016",4/19/2016,4/20/2016,1,Spring 2,April,17,111,Isopoda,Armadillidiidae,Armadillidium,0,0.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"April 19-20, 2016",4/19/2016,4/20/2016,1,Spring 2,April,17,111,Collembola,Bourletiellidae,Bourletiellidae,407,407.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"April 19-20, 2016",4/19/2016,4/20/2016,1,Spring 2,April,17,111,Isopoda,Porcellionidae,Porcellio,0,0.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"April 19-20, 2016",4/19/2016,4/20/2016,1,Spring 2,April,17,111,Collembola,Entomobryidae,Entomobryidae,59,59.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"June 23-24, 2016",6/23/2016,6/24/2016,1,Summer,June,26,176,Collembola,Entomobryidae,Entomobryidae,0,0.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"June 23-24, 2016",6/23/2016,6/24/2016,1,Summer,June,26,176,Archaeognatha,Machilidae,Machilidae,54,54.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"June 23-24, 2016",6/23/2016,6/24/2016,1,Summer,June,26,176,Collembola,Bourletiellidae,Bourletiellidae,0,0.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"June 23-24, 2016",6/23/2016,6/24/2016,1,Summer,June,26,176,Collembola,Isotomidae,Isotomidae,0,0.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"June 23-24, 2016",6/23/2016,6/24/2016,1,Summer,June,26,176,Isopoda,Porcellionidae,Porcellio,0,0.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"June 23-24, 2016",6/23/2016,6/24/2016,1,Summer,June,26,176,Dermaptera,Forficulidae,Forficulidae,0,0.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"June 23-24, 2016",6/23/2016,6/24/2016,1,Summer,June,26,176,Isopoda,Armadillidiidae,Armadillidium,17,17.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"March 31-April 1, 2016",3/31/2016,4/1/2016,1,Spring 1,April,14,92,Collembola,Entomobryidae,Entomobryidae,43,43.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"March 31-April 1, 2016",3/31/2016,4/1/2016,1,Spring 1,April,14,92,Collembola,Isotomidae,Isotomidae,1,1.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-YPT-01,Non-native Annual Grassland,YPT,"March 31-April 1, 2016",3/31/2016,4/1/2016,1,Spring 1,April,14,92,Archaeognatha,Machilidae,Machilidae,6,6.0,93,1,92, -   , -   ,84, -   ,84, -   ,9,1,8, -   , -   , -   , -   , -   , -   ,3,3.7,1.5,50.4,5.1,8.1,6.6,1,5.9,12, -   ,2.7,5,12, -   ,2, -   ,10, -   , -   , -   , -   ,5, -   ,2, -   ,5, -   , -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
